Key,Category,Sub Category,Sub Sub Category
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F0_IMG3_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F3_IMG1_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_RXCM_F2_IMGUI_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F4_IMG1_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F0_IMG5_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F0_IMG0_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_RXCM_F2_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F0_IMG0_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F3_IMG1_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F4_IMG0_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F0_IMG0_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
